iter	RMSE
0	14.36551166
1	13.47434935
2	12.60347641
3	11.91477634
4	11.3232142
5	10.76367652
6	10.31585774
7	9.784074951
8	9.430534582
9	8.958719779
10	8.551242739
11	8.185990883
12	7.90101893
13	7.627769973
14	7.367954558
15	7.129216544
16	6.891197556
17	6.692694992
18	6.528669575
19	6.339544124
20	6.201334437
21	6.091628194
22	5.968176434
23	5.850428972
24	5.740160146
25	5.640754303
26	5.546852745
27	5.48871295
28	5.40414731
29	5.339718692
30	5.272153813
31	5.19414102
32	5.130739025
33	5.082766566
34	5.045864275
35	5.002042596
36	4.951974445
37	4.891202115
38	4.846393553
39	4.80655905
40	4.773109942
41	4.740042866
42	4.718909334
43	4.67864955
44	4.645619138
45	4.6272914
46	4.604834013
47	4.566227156
48	4.53639353
49	4.506281534
50	4.472441214
51	4.453619778
52	4.420091014
53	4.390811729
54	4.37328294
55	4.345494884
56	4.326433373
57	4.313795842
58	4.296734951
59	4.272487224
60	4.254984769
61	4.23715203
62	4.224092583
63	4.204309348
64	4.18007321
65	4.153793658
66	4.145781151
67	4.124915309
68	4.096846945
69	4.072332064
70	4.054212768
71	4.023425958
72	4.008868752
73	3.988213531
74	3.977717878
75	3.962154348
76	3.941287238
77	3.927586027
78	3.904162413
79	3.885309209
80	3.872704631
81	3.843723842
82	3.829766732
83	3.818279427
84	3.805467727
85	3.782784567
86	3.78020628
87	3.751204456
