iter	Passed	Remaining
0	184	184274
1	187	93692
2	191	63635
3	194	48466
4	198	39451
5	201	33440
6	205	29103
7	208	25836
8	211	23320
9	215	21297
10	218	19652
11	221	18275
12	225	17109
13	228	16105
14	232	15244
15	235	14478
16	239	13846
17	243	13268
18	246	12722
19	249	12234
20	253	11795
21	256	11408
22	260	11047
23	263	10723
24	267	10419
25	270	10142
26	274	9884
27	277	9632
28	281	9418
29	285	9220
30	288	9015
31	291	8827
32	294	8635
33	297	8443
34	299	8259
35	301	8075
36	303	7893
37	305	7721
38	306	7556
39	308	7403
40	309	7248
41	311	7101
42	312	6962
43	314	6833
44	316	6711
45	317	6589
46	319	6470
47	320	6358
48	321	6248
49	323	6139
50	324	6038
51	325	5936
52	326	5842
53	328	5754
54	329	5662
55	330	5579
56	331	5492
57	333	5416
58	334	5341
59	336	5267
60	337	5191
61	338	5118
62	339	5047
63	340	4977
64	341	4912
65	342	4846
66	343	4783
67	344	4718
68	346	4669
69	347	4618
70	349	4568
71	350	4514
72	351	4461
73	352	4410
74	353	4362
75	354	4314
76	356	4268
77	357	4220
78	358	4173
79	359	4128
80	360	4088
81	361	4045
82	362	4002
83	363	3961
84	363	3917
85	364	3876
86	365	3834
87	366	3796
88	367	3759
89	368	3724
90	369	3690
91	370	3659
92	371	3627
93	373	3600
94	374	3570
95	376	3541
96	377	3514
97	378	3488
98	380	3461
99	381	3436
100	383	3413
101	384	3385
102	385	3359
103	387	3334
104	388	3311
105	389	3285
106	390	3262
107	392	3242
108	393	3219
109	395	3196
110	396	3172
111	397	3148
112	398	3128
113	399	3108
114	401	3086
115	402	3063
116	403	3044
117	404	3024
118	405	3004
119	406	2983
120	408	2965
121	409	2944
122	409	2921
123	410	2901
124	411	2880
125	412	2861
126	413	2841
127	413	2819
128	414	2801
129	415	2782
130	416	2764
131	417	2746
132	418	2730
133	420	2714
134	421	2698
135	422	2682
136	423	2666
137	424	2649
138	425	2633
139	426	2618
140	427	2602
141	428	2587
142	429	2572
143	430	2557
144	431	2542
145	432	2527
146	433	2512
147	434	2499
148	436	2490
149	437	2476
150	438	2463
151	439	2449
152	440	2437
153	441	2425
154	442	2412
155	443	2400
156	444	2388
157	445	2376
158	446	2363
159	447	2350
160	449	2340
161	450	2330
162	451	2320
163	453	2309
164	454	2298
165	455	2287
166	456	2276
167	457	2265
168	458	2254
169	459	2243
170	460	2232
171	461	2221
172	462	2209
173	463	2198
174	464	2189
175	466	2183
176	467	2173
177	468	2164
178	469	2155
179	470	2145
180	471	2133
181	472	2123
182	473	2114
183	474	2105
184	475	2096
185	476	2087
186	477	2077
187	479	2069
188	480	2061
189	481	2053
190	482	2044
191	483	2036
192	485	2028
193	486	2020
194	488	2018
195	489	2009
196	490	2000
197	491	1991
198	492	1983
199	493	1974
200	494	1966
201	495	1959
202	497	1952
203	498	1943
204	499	1935
205	499	1926
206	500	1918
207	501	1910
208	502	1902
209	503	1894
210	504	1885
211	505	1878
212	506	1870
213	507	1863
214	508	1855
215	509	1849
216	511	1843
217	512	1837
218	513	1831
219	514	1825
220	516	1819
221	517	1813
222	518	1806
223	519	1799
224	520	1793
225	521	1787
226	523	1781
227	524	1775
228	525	1769
229	527	1764
230	528	1758
231	529	1752
232	530	1745
233	531	1739
234	532	1732
235	533	1726
236	534	1720
237	535	1714
238	536	1707
239	537	1701
240	538	1694
241	539	1689
242	540	1684
243	541	1678
244	543	1673
245	544	1668
246	545	1662
247	546	1657
248	547	1652
249	548	1646
250	549	1640
251	550	1634
252	551	1628
253	552	1623
254	553	1617
255	554	1612
256	556	1607
257	557	1602
258	558	1596
259	559	1591
260	560	1586
261	561	1581
262	562	1576
263	563	1570
264	564	1565
265	565	1560
266	566	1555
267	567	1550
268	568	1544
269	569	1540
270	570	1535
271	572	1531
272	573	1526
273	574	1521
274	575	1517
275	576	1512
276	577	1507
277	578	1503
278	579	1498
279	580	1493
280	581	1488
281	582	1484
282	584	1479
283	585	1476
284	587	1473
285	588	1469
286	589	1464
287	590	1460
288	591	1455
289	592	1451
290	594	1447
291	595	1443
292	596	1438
293	597	1434
294	598	1429
295	599	1424
296	599	1420
297	601	1416
298	602	1412
299	603	1407
300	604	1403
301	605	1399
302	606	1395
303	607	1391
304	608	1387
305	609	1383
306	610	1378
307	611	1374
308	612	1370
309	613	1365
310	614	1361
311	615	1357
312	617	1354
313	618	1350
314	619	1346
315	620	1342
316	621	1338
317	622	1334
318	623	1330
319	624	1326
320	625	1322
321	626	1318
322	627	1314
323	628	1310
324	629	1306
325	630	1303
326	631	1299
327	632	1295
328	633	1292
329	634	1288
330	635	1284
331	636	1281
332	637	1277
333	638	1273
334	639	1270
335	640	1266
336	641	1262
337	642	1258
338	643	1255
339	644	1251
340	645	1247
341	646	1243
342	647	1240
343	648	1236
344	649	1232
345	650	1228
346	651	1225
347	652	1221
348	653	1218
349	654	1214
350	655	1211
351	656	1208
352	657	1204
353	658	1201
354	659	1198
355	660	1195
